id,name,type,definition,example,synonyms,antonyms,derived1,derived1Type,derived2,derived2Type
135,offend,verb,"cause to feel upset, annoyed, or resentful",She didn't mean to offend anyone with her remark,"antagonize, displease, hurt, irritate, outrage, provoke, upset","aid, assist, assuage, placate, soothe, please",,,,
135,offend,verb,to commit a crime,Punishment is pointless if prisoners go on to offend again,"sin, transgress",,,,,
136,omen,noun,something that is believed to be a sign or warning of something that will happen in the future,They regarded the win as a good omen for the team,"premonition, indication, sign, prediction, forecast, prophecy",,,,,
137,oppress,verb,to treat (a person or group of people) in a cruel or unfair way,The country has long been oppressed by a ruthless dictator,"persecute, abuse, maltreat, repress","aid, assist, comfort, help, please",,,,
137,oppress,verb,to make (someone) feel sad or worried for a long period of time,He was oppressed by some secret worry,"depress, sadden, dispirit, dishearten",,,,,
138,ordeal,noun,an experience that is very unpleasant or difficult,The ordeal of cancer treatment took a toll on her,"agony, anguish, calamity, nightmare, torment, torture","comfort, contentment, happiness, joy, peace",,,,
139,orthodontics,noun,a branch of dentistry that deals with helping teeth to grow straight,He underwent orthodontic treatment to straighten his teeth and fill the gaps,,,,,,
140,ostentatious,adj,"displaying wealth, knowledge, etc. in a way that is meant to attract attention, admiration, or envy","The little girl's birthday party was an ostentatious affair with live ponies, a chocolate fountain, and a six-tier cake","showy, pretentious, extravagant, conspicuous, flamboyant, gaudy, obstrusive, garish","calm, moderate, modest, plain",,,,
141,painstaking,adj,showing or done with great care and effort,The book describes the election process in painstaking detail,"assiduous, careful, conscientious, diligent, elaborate, strenuous, minute, rigorous","careless, lazy, lethargic, negligent, unconcerned",,,,
142,palaeontology,noun,the science that deals with the fossils of animals and plants that lived very long ago especially in the time of dinosaurs,I am quite interested in studying the history of earth and want to study palaentology,,,palaeontology,noun,,
143,passive,adj,to describe someone who allows things to happen or who accepts what other people do or decide without trying to change anything,His passive acceptance of the decision surprised us,"indifferent, laid-back, quiet, uninvolved, unflappable, submissive","active, assertive, caring, concerned, interested",,,,
144,pasture,noun,a large area of land where animals feed on the grass,The horses were grazing in the pasture,"grass, meadow",,,,,
145,peculiar,adj,not usual or normal,His accent was a peculiar mixture of Cockney and Irish,"strange, unusual, odd, funny, bizarre","common, normal, ordinary, standard",,,,
145,peculiar,adj,"belonging to, relating to, or found in only particular people or things",This type of building is peculiar to the south of the country,"distinct, idiosyncratic, particular","general, common, unspecific",,,,
146,perceive,verb,"to come to an opinion about something, or have a belief about something",How do the French perceive the British?,"judge, view, consider, regard",,,,,
146,perceive,verb,"to see something or someone, or to notice something that is obvious",I perceived a note of unhappiness in her voice,"feel, grasp, observe, recognise","ignore, miss, overlook",,,,
147,peril,noun,"great danger, or something that is very dangerous",The earthquake stuck their village and his family was in peril,"hazard, risk, threat, trouble",,,,,
147,peril,noun,"something that is likely to cause injury, pain, or loss",The journey through the mountains was fraught with peril,"distress, endangerment, imperilment, jeopardy, peril, risk, trouble","safeness, safety, secureness, security",,,,
148,perish,verb,to die or be killed,Three hundred people perished in the earthquake,"die, fall, expire",,,,,
148,perish,verb,to slowly break apart by a natural process,Sunligh has caused the rubber to perish,"rot, vanish, disintegrate, decay, decompose","grow, build",,,,
149,perplexed,adj,unable to understand something clearly or to think clearly,The explanation left me thoroughly perplexed,"bewildered, puzzled, uncertain, confused","certain, clear, sure",,,,
150,physiotherapy,noun,"the treatment of a disease or an injury of the muscles or joints with massage, exercises, heat, etc.",The doctor perscribed physiotherapy to treat the pain,,,,,,
151,pigment,noun,a natural substance that gives colour to animals and plants,Melanin is a pigment that gives colour to skin and flur,,,,,,
151,pigment,noun,a substance that gives colour to something else,"Pigments are used to give colour to paint, ink, and plastic",dye,,pigmented,adj,,
152,pioneer,noun,"a person who helps create or develop new ideas, methods, etc.",One of the pioneers of modern science,"innovator, trailblazer, founder, creater",,,,,
152,pioneer,noun,someone who is one of the first people to move to and live in a new area,"The pioneers went west across North America, cutting down forests and planting new crops.","settler, colonist, explorer",,,,,
153,plunder,verb,"to steal things from (a place, such as a city or town) especially by force",The village was plundered by the invading army,"loot, pillage, ransack, rob",gift,,,,
154,plunder,noun,stolen goods or money obtained illegally,The thieves were easily identified because they still had the plunder in their vehicle,"booty, loot, pillage",,plunderer,noun,,
155,polarity,noun,"a state in which two ideas, opinitions, etc., are completely opposite or very different from each other",The film is based on the polarity of the two main characters,"duality, conflict, dichotomy",,,,,
155,polarity,noun,the property of having poles or being polar,it exhibits polarity when presented to a magnetic needle,,,,,,
156,pompous,adj,too serious and full of importance,She found it difficult to talk about her achievements without sounding pompous,"boastful, bombastic, selfish, presumptuous","humble, kind, modest, unselfish",,,,
157,precarious,adj,"not safe, strong, or steady",The strong wind almost knocked him off of his precarious perch on the edge of the cliff,"dangerous, delicate, risky, perilous, unsteady, unstable, shaky","certain, definite, safe, stable, steady",,,,
158,pretence,noun,a way of behaving that is intended to deceive people,She made absolutely no pretence of being interested,"acting, deception, deceit, fraud",honesty,,,,
159,proclaim,verb,"to say or state (something) in a public, official, or definite way; to declare or announce (something)",She proclaimed that what I had said was untrue,"assert, declare, profess","conceal, suppress, withhold, deny",,,,
159,proclaim,verb,to show something or make it clear,His behaviour proclaimed his good upbringing,"demonstrate, indicate, show, reveall","conceal, hide",,,,
160,prohibit,verb,formally forbid someone from doing something,Motor vehicles are prohibited from driving in the town centre,"forbid, ban, bar, constrain, outlaw, impede, proscribe, restrain","aid, allow, approve, assist, facilitate, permit",,,,
161,quaint,adj,having an old-fashiioned or unusual quality or appearance that is usually attractive or appealling,a quaint old cottage,"antiquated, archaic, antique, picturesque","new, modern, fashionable",quaintly,adverb,,
